PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,FacilityInspireId,facilityName,city,Longitude,Latitude,addressConfidentialityReason,TargetRelease,Pollutant,Releases,confidentialityReason
2026/02/13,Sweden,2017,7.0,Intensive livestock production and aquaculture,7(a)(ii),SE.CAED/10018551.Facility,"Nya Skottorps Gris, inkl biogas",Laholm,13.0724,56.44064,,AIR,Ammonia (NH3),44500.0,
2026/02/13,Sweden,2013,2.0,Production and processing of metals,2(c)(i),SE.CAED/10021742.Facility,SSAB EMEA AB,BORLÄNGE,15.4512,60.4906,,AIR,Nitrogen oxides (NOX),285000.0,
2026/02/13,Norway,2015,3.0,Mineral industry,3(a),NO.EEA/0000.0050.01.FACILITY,Gjøa,Sandnes,3.895116,61.3318863,,AIR,Methane (CH4),461000.0,
2026/02/13,Sweden,2016,2.0,Production and processing of metals,2(b),SE.CAED/10021812.Facility,"Outokumpu Stainless AB, Avesta",AVESTA,16.18031,60.13507,,AIR,Chromium and compounds (as Cr),282.0,
2026/02/13,Sweden,2014,5.0,Waste and wastewater management,5(d),SE.CAED/10013697.Facility,LÖT  AVFALLSANLÄGGNING,BROTTBY,18.31074,59.63391,,AIR,Methane (CH4),251000.0,
2026/02/13,Sweden,2015,2.0,Production and processing of metals,2(b),SE.CAED/10024561.Facility,SSAB EMEA AB i Luleå,LULEÅ,22.21426,65.56204,,AIR,Zinc and compounds (as Zn),460.0,
2026/02/13,Denmark,2022,4.0,Chemical industry,4(e),DK.CAED/000104565.FACILITY,H. Lundbeck A/S,Nykøbing Sj,11.509317235208805,55.943369885765065,,AIR,Carbon dioxide (CO2),3100000.0,
2026/02/13,Sweden,2012,6.0,Paper and wood production and processing,6(a),SE.CAED/10016489.Facility,Södra Cell Mönsterås,MÖNSTERÅS,16.55049,57.09152,,AIR,Carbon dioxide (CO2) excluding biomass,63200000.0,
2026/02/13,Sweden,2014,1.0,Energy sector,1(c),SE.CAED/10015102.Facility,Händelöverket,NORRKÖPING,16.23333,58.61956,,AIR,Nitrous oxide (N2O),70200.0,
2026/02/13,Denmark,2024,5.0,Waste and wastewater management,5(b),DK.CAED/000105368.FACILITY,Maabjerg Energy Center – BioHeat & Power A/S,Holstebro,8.617716425405005,56.39536700680778,,AIR,Carbon dioxide (CO2) excluding biomass,145322822.0,
2026/02/13,Denmark,2024,7.0,Intensive livestock production and aquaculture,7(a)(i),DK.CAED/000174836.FACILITY,AXEL MÅNSSON ØKO-ÆGGET ApS,Give,9.202262447503816,55.91349298311611,,AIR,Ammonia (NH3),6965.0,
2026/02/13,Sweden,2018,2.0,Production and processing of metals,2(e)(i),SE.CAED/10023940.Facility,Rönnskärsverken,SKELLEFTEHAMN,21.26869,64.6681,,AIR,Nitrogen oxides (NOX),224000.0,
2026/02/13,Denmark,2013,1.0,Energy sector,1(c),DK.CAED/000106181.FACILITY,Avedøreværket,Hvidovre,12.48152777031473,55.60399886511819,,AIR,Particulate matter (PM10),65200.0,
2026/02/13,Norway,2017,3.0,Mineral industry,3(a),NO.EEA/0000.0046.02.FACILITY,Gullfaks,Stavanger,2.187338,61.1755829,,AIR,Non-methane volatile organic compounds (NMVOC),5790000.0,
2026/02/13,Denmark,2014,5.0,Waste and wastewater management,5(d),DK.EEA/5391.FACILITY,Genbrugsplads Skagen,Skagen              ,10.5750919155629,57.7369975313587,,AIR,Methane (CH4),824000.0,
